sample,position,aragonite_thickness_um,calcite_thickness_um,date
12_2,2,38.532,942.306,13.07.1936
12_2,2,43.767,1000.064,13.07.1936
12_3,2,165.041,655.414,13.07.1936
12_3,2,162.071,668.671,13.07.1936
12_3,2,173.279,806.821,13.07.1936
12_3,2,160.479,783.7,13.07.1936
12_3,2,156.087,822.856,13.07.1936
12_3,2,147.984,807.715,13.07.1936
12_3,2,154.597,755.197,13.07.1936
12_3,2,150.174,924.772,13.07.1936
12_3,2,146.968,965.097,13.07.1936
12_3,2,135.942,988.411,13.07.1936
12_4,2,171.007,639.076,13.07.1936
12_4,2,193.01,543.383,13.07.1936
12_4,2,227.237,534.884,13.07.1936
12_4,2,224.709,526.718,13.07.1936
12_4,2,226.449,525.579,13.07.1936
12_4,2,220.043,551.271,13.07.1936
12_4,2,215.792,468.52,13.07.1936
12_4,2,227.007,371.208,13.07.1936
12_4,2,212.89,454.062,13.07.1936
12_4,2,203.025,518.661,13.07.1936
12_5,2,172.137,753.011,13.07.1936
12_5,2,217.889,713.433,13.07.1936
12_5,2,220.661,707.389,13.07.1936
12_5,2,185.615,735.082,13.07.1936
12_5,2,171.994,770.008,13.07.1936
12_5,2,155.525,738.746,13.07.1936
12_5,2,137.352,770.371,13.07.1936
12_5,2,144.501,777.078,13.07.1936
12_5,2,152.192,788.44,13.07.1936
12_5,2,155.709,719.843,13.07.1936
12_6,2,123.457,532.081,13.07.1936
12_6,2,128.73,513.269,13.07.1936
12_6,2,141.103,529.979,13.07.1936
12_6,2,135.276,565.001,13.07.1936
12_6,2,137.43,547.05,13.07.1936
12_6,2,149.693,519.066,13.07.1936
12_6,2,140.499,554.55,13.07.1936
12_6,2,162.71,582.247,13.07.1936
12_6,2,171.007,653.496,13.07.1936
12_6,2,176.408,654.726,13.07.1936
12_7,2,167.524,579.42,13.07.1936
12_7,2,161.084,641.952,13.07.1936
12_7,2,146.774,647.064,13.07.1936
12_7,2,143.006,676.09,13.07.1936
12_7,2,110.735,646.838,13.07.1936
12_7,2,102.064,607.521,13.07.1936
12_7,2,93.841,611.585,13.07.1936
12_7,2,100.155,566.188,13.07.1936
12_7,2,108.481,472.105,13.07.1936
12_7,2,113.091,556.05,13.07.1936
12_8,2,57.729,501.478,13.07.1936
12_8,2,55.297,562.284,13.07.1936
12_8,2,61.744,634.491,13.07.1936
