"wind_speed","year","month"
8.08,1960,3
7.2,1960,4
5.66,1960,5
6.65,1960,6
7.27,1960,7
4.24,1960,8
5.14,1960,9
6.78,1960,10
9.12,1960,11
11.74,1960,12
9.74,1961,1
6.91,1961,2
6.21,1961,3
5.29,1961,4
6.13,1961,5
4.67,1961,6
7.1,1961,7
6.19,1961,8
5.29,1961,9
7.34,1961,10
8.06,1961,11
6.6,1961,12
10.62,1962,1
10.72,1962,2
5.48,1962,3
7.19,1962,4
6.92,1962,5
5.3,1962,6
5.37,1962,7
7.68,1962,8
7.13,1962,9
5.7,1962,10
7.94,1962,11
9.73,1962,12
10.82,1963,1
6.65,1963,2
5.97,1963,3
5.53,1963,4
6.05,1963,5
5.72,1963,6
3.95,1963,7
6.08,1963,8
5.89,1963,9
7.16,1963,10
8.87,1963,11
6.44,1963,12
6.3,1964,1
7.97,1964,2
8.14,1964,3
6.54,1964,4
5,1964,5
5.37,1964,6
5.34,1964,7
5.67,1964,8
6.42,1964,9
6.59,1964,10
7.3,1964,11
10.09,1964,12
10.2,1965,1
7.83,1965,2
5.42,1965,3
6.38,1965,4
6.07,1965,5
5.58,1965,6
6.84,1965,7
6.13,1965,8
6.44,1965,9
6.58,1965,10
10.6,1965,11
9.91,1965,12
9.28,1966,1
8.39,1966,2
9.13,1966,3
6.84,1966,4
6.22,1966,5
6.08,1966,6
6.39,1966,7
7.37,1966,8
6.33,1966,9
6.75,1966,10
9.99,1966,11
10.48,1966,12
8.61,1967,1
10.15,1967,2
10.67,1967,3
7.91,1967,4
7.15,1967,5
6.51,1967,6
5.29,1967,7
5.87,1967,8
7.73,1967,9
11.66,1967,10
8.76,1967,11
10.53,1967,12
11.79,1968,1
7.97,1968,2
10.77,1968,3
6.11,1968,4
6.16,1968,5
5.91,1968,6
6.29,1968,7
7.83,1968,8
8.21,1968,9
8.67,1968,10
8.13,1968,11
8.15,1968,12
9.43,1969,1
9.59,1969,2
8.94,1969,3
7.17,1969,4
5.73,1969,5
5.78,1969,6
5.15,1969,7
6.46,1969,8
6.06,1969,9
6.65,1969,10
11.79,1969,11
7.43,1969,12
8.6,1970,1
8.72,1970,2
9.01,1970,3
7.94,1970,4
5.52,1970,5
5.1,1970,6
6.72,1970,7
5.8,1970,8
8.47,1970,9
9.42,1970,10
10.98,1970,11
8.75,1970,12
7.71,1971,1
7.02,1971,2
7.97,1971,3
6.78,1971,4
5.6,1971,5
6.5,1971,6
4.65,1971,7
6.17,1971,8
5.39,1971,9
9.08,1971,10
10.03,1971,11
7.88,1971,12
7.85,1972,1
7.07,1972,2
7.94,1972,3
9.09,1972,4
6.96,1972,5
5.73,1972,6
5.74,1972,7
6.55,1972,8
6.38,1972,9
7.89,1972,10
10.43,1972,11
9.33,1972,12
6.85,1973,1
8.65,1973,2
5.9,1973,3
9.21,1973,4
6.03,1973,5
4.71,1973,6
6.37,1973,7
5.95,1973,8
7.18,1973,9
7.75,1973,10
12.31,1973,11
10.4,1973,12
10.16,1974,1
9.27,1974,2
7.82,1974,3
7.62,1974,4
6.46,1974,5
6.19,1974,6
8.1,1974,7
5.81,1974,8
8.98,1974,9
10.47,1974,10
10.87,1974,11
13.95,1974,12
11.98,1975,1
7.18,1975,2
8.91,1975,3
7.36,1975,4
7.37,1975,5
6.44,1975,6
7.78,1975,7
5.84,1975,8
8.79,1975,9
8.1,1975,10
9.75,1975,11
9.5,1975,12
13.24,1976,1
7.96,1976,2
8.49,1976,3
6.99,1976,4
5.73,1976,5
5.28,1976,6
6.11,1976,7
5.93,1976,8
7.22,1976,9
8.38,1976,10
9.24,1976,11
9.94,1976,12
8.51,1977,1
8.42,1977,2
8.48,1977,3
9.55,1977,4
7.53,1977,5
6.73,1977,6
6.59,1977,7
6.6,1977,8
7.95,1977,9
8.42,1977,10
12.63,1977,11
9.23,1977,12
10.34,1978,1
7.75,1978,2
9.03,1978,3
6.92,1978,4
6.23,1978,5
6.56,1978,6
6.26,1978,7
6.43,1978,8
9.02,1978,9
7.16,1978,10
9.82,1978,11
10.08,1978,12
8.77,1979,1
8.51,1979,2
9.75,1979,3
6.99,1979,4
7.45,1979,5
5.67,1979,6
5.75,1979,7
6.59,1979,8
8.04,1979,9
7.93,1979,10
9.92,1979,11
12.48,1979,12
8.59,1980,1
7.09,1980,2
8.75,1980,3
8.14,1980,4
7.69,1980,5
6.66,1980,6
7.76,1980,7
7.73,1980,8
7.51,1980,9
10.56,1980,10
13.27,1980,11
12.42,1980,12
10.79,1981,1
9.05,1981,2
9.25,1981,3
8.53,1981,4
6.76,1981,5
7.6,1981,6
5.89,1981,7
5.85,1981,8
7.48,1981,9
9.9,1981,10
11.45,1981,11
9.35,1981,12
8.4,1982,1
8.67,1982,2
8.48,1982,3
7.4,1982,4
6.4,1982,5
5.58,1982,6
6.65,1982,7
8.01,1982,8
7.37,1982,9
